Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1,918,918,0,0,0,0,0,0,0,0
C:\Users\HP\Documents\Visual Studio 2015\Projects\Dot7\sql,1,918,918,0,0,0,0,0,0,0,0
